TARGET_DU:Rotation-ActVel      2020-06-09 13:46:36.351221 4.9567  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:36.851229 5.0032  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:37.351251 4.971  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:37.851230 5.0533  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:38.351277 5.0354  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:38.851341 5.0282  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:39.351346 4.9639  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:39.851285 5.0676  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:40.351507 5.1141  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:40.851488 5.1427  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:41.351486 5.0998  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:41.851476 5.1785  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:42.351530 5.2178  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:42.851572 5.2071  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:43.351562 5.25  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:43.851698 5.2893  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:44.351720 5.2965  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:44.852791 5.2929  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:45.851801 5.3608  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:46.351816 5.3358  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:46.851920 5.3787  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:47.351914 5.3251  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:47.851989 5.3537  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:48.352026 5.393  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:48.852116 5.4252  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:49.352071 5.4502  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:49.852140 5.461  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:50.352337 5.5146  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:50.851402 5.5397  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:51.351394 5.5683  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:51.851427 5.5754  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:52.351517 5.6219  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:52.851440 5.6469  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:53.351417 5.6291  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:53.851587 5.6684  
