TARGET_DU:Rotation-ActVel      2020-06-09 13:56:20.857441 5.461  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:21.357497 5.4681  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:21.857524 5.4359  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:22.357589 5.4252  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:22.858624 5.4395  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:23.357574 5.3144  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:24.357732 5.2929  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:24.857792 5.2714  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:25.357838 5.1677  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:25.857859 5.2142  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:26.357955 5.1892  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:26.857844 5.1534  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:27.357945 5.1713  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:27.857868 5.182  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:28.359058 5.1177  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:28.858985 5.0461  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:29.357994 5.039  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:29.858021 5.0461  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:30.359288 5.0175  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:30.859156 5.0139  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:31.357377 4.9138  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:31.857490 4.9031  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:32.357369 4.8959  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:32.857482 4.8923  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:33.357389 4.76  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:33.857460 4.8065  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:34.357657 4.7457  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:34.857577 4.7922  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:35.357574 4.7708  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:35.857639 4.7064  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:36.357635 4.7207  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:36.858705 4.7636  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:37.357787 4.7135  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:37.857804 4.6527  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:38.357845 4.6062  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:38.857867 4.6134  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:39.357914 4.5168  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:39.857989 4.499  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:40.357951 4.5133  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:40.858042 4.4131  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:41.358039 4.4274  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:41.858118 4.3774  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:42.358178 4.406  
